participant_id,paas,updated_at,NRQ_ECL1,NRQ_ECL2,NRQ_ECL3,PIES1,PIES2,PIES3,PIES4,PIES5,PIES6,PIES7,PIES8,PIES9,PIES10,PIES11,ECM_PU1,ECM_PU2,ECM_PU3,ECM_PU4,ECM_S1,ECM_S2,ECM_S3,ECM_S4,ECM_CI1,ECM_CI2,ECM_CI3,PIES_AC,NRQ_ICL1,NRQ_ICL2
241ca21f-0214-47fa-933c-b2c656f1819d,3,2025-12-09 13:08:36.0138+00,5,5,6,1,4,4,4,5,1,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,1,5,4,2
2a788a65-9288-433d-8ecb-788fe69b57cd,6,2025-12-08 12:30:34.544954+00,2,1,1,4,2,1,5,5,5,5,3,4,4,3,7,7,7,7,6,6,6,6,6,6,2,5,6,5
2b5fd31a-dc2d-4c05-95ff-75759c2649bf,2,2026-01-04 15:33:57.12873+00,3,5,2,1,4,5,4,2,4,4,1,1,2,1,5,3,4,7,6,5,5,5,6,6,2,5,5,2
2c25fe81-e77f-42e9-a479-03b5afe3458f,2,2025-12-23 10:15:52.318058+00,2,3,2,2,4,4,1,1,4,2,1,2,3,2,6,4,2,4,4,4,6,5,4,4,4,5,4,1
2dc94996-ea7a-44cc-be3b-0bbd7ec42803,4,2025-12-03 10:35:00.381504+00,2,4,2,2,4,5,2,2,4,2,3,3,3,2,5,4,5,6,5,5,5,5,5,5,2,5,5,2
2f307df5-73a6-4ad9-95a1-c6498d36592c,4,2025-12-31 20:08:11.329587+00,2,1,2,2,3,4,2,3,3,3,2,3,4,2,5,3,5,7,5,5,5,5,6,6,2,5,2,2
302cd5a0-6497-4343-9fd1-2ec4452aa871,3,2025-12-05 05:39:13.556991+00,4,4,3,2,4,4,3,3,3,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,5,2,2
323f6fc6-61e4-4046-aef4-847a1bec0563,4,2025-12-18 16:14:51.205674+00,2,2,5,2,5,5,4,3,4,4,4,2,3,3,5,3,3,6,3,3,5,4,4,4,4,5,6,4
35e66184-3e42-45f7-bf6a-5d675bcac6da,4,2025-11-28 11:28:07.667638+00,2,2,2,4,2,2,5,4,4,4,4,4,3,3,6,6,6,7,5,5,6,5,6,6,2,5,3,3
3d04f793-44fb-481f-99d5-1eb2fb1147e4,5,2026-01-04 12:25:25.037608+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e13c82d-da28-4d66-ba9a-2d0a95d8b438,4,2025-12-23 15:54:36.217619+00,1,2,1,1,1,5,4,4,5,4,2,1,1,2,1,1,1,1,,,,,3,3,3,1,2,2
3f225600-a051-470e-933a-a9a60cdc22da,5,2026-01-05 13:48:50.396766+00,1,1,1,1,3,4,4,4,4,3,1,3,3,3,7,7,7,7,7,7,7,7,6,6,1,5,5,1
41d30187-dfd3-43cd-8504-1e8c11db983d,4,2025-12-02 17:54:19.891067+00,1,2,2,3,4,3,3,2,4,3,1,2,3,1,5,5,5,5,5,6,5,5,5,5,3,5,2,2
43cddaa8-35f1-4dc3-bcdf-fd80d1b7c5a8,3,2026-01-04 11:04:27.982861+00,4,5,5,1,5,4,4,4,5,4,5,4,5,4,7,7,7,7,5,4,4,4,7,7,3,5,7,5
44c59528-60b4-4714-bbce-2bf537e97e56,3,2025-12-05 14:24:41.642279+00,2,1,1,1,4,4,4,3,4,4,2,2,2,2,5,2,4,6,4,4,5,4,6,6,2,5,2,2
458e3744-4439-4fdc-826c-5dc2212959b0,1,2025-12-16 11:12:51.368857+00,1,1,1,3,4,2,5,4,4,4,5,5,5,5,6,6,6,6,5,5,5,4,6,6,1,5,1,1
4a16ecf4-0324-4baf-a38f-1ea98ce73fc3,5,2025-12-12 10:04:49.942739+00,3,5,3,4,2,2,4,2,5,3,1,1,1,1,6,5,5,4,4,6,3,4,6,3,4,5,5,3
4aa8ea4c-b876-4599-a707-1bad68e2ac47,4,2025-12-12 08:27:57.075013+00,1,1,1,4,2,3,3,2,5,4,4,3,4,1,4,1,5,7,5,5,6,5,6,7,1,5,5,1
4b7264c1-03ae-4401-ae7b-3d5418e244fa,6,2025-12-07 13:08:26.410311+00,3,1,1,4,3,1,5,5,5,5,3,4,3,3,7,7,7,7,6,6,6,6,7,7,1,5,5,4
4b735901-9e3e-43de-8dd8-54e74dcf0910,7,2025-12-04 12:29:29.418816+00,6,6,6,4,2,2,3,3,4,2,3,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,7,6
4b8b5d28-8ca9-4b2d-be09-796cd60ff22f,2,2025-11-30 13:36:44.395902+00,3,5,5,1,5,5,1,1,3,1,1,1,1,1,4,4,4,5,4,4,4,4,6,6,2,5,2,2
50af3813-4730-4b8e-b200-16ba76811d68,2,2025-12-06 13:15:02.497547+00,1,4,3,5,2,1,4,4,4,3,4,3,2,4,6,6,6,6,5,5,5,5,6,6,3,1,1,2
50cb55ec-c55f-4275-b3f8-a119e6ae6ef1,3,2025-12-22 18:29:54.44802+00,2,4,5,2,3,4,5,5,5,5,4,3,3,3,6,4,5,5,5,5,5,5,6,6,2,5,7,2
51381787-c3a4-4a69-a44d-0750124ee2ad,6,2025-11-29 11:51:58.080386+00,2,4,3,5,1,1,4,5,4,4,3,4,3,3,7,4,6,7,6,5,6,4,7,6,2,5,5,2
51c72b18-d63d-4293-a20a-58955ea921f9,5,2025-12-02 14:47:40.342875+00,1,4,1,4,2,2,5,2,5,4,4,4,4,2,6,6,6,6,7,7,7,7,6,6,2,5,1,1
51eeb71d-7fb3-47dc-ae2a-00e20701fa68,6,2025-12-02 20:49:20.678399+00,6,5,5,4,2,1,5,5,5,4,5,5,5,4,5,5,5,5,7,7,7,7,5,6,2,5,6,3
5dea9317-cab2-4546-bc93-eb063052932c,5,2025-12-13 07:05:30.121134+00,5,2,5,5,1,1,4,5,5,5,3,4,4,4,7,7,5,6,6,6,6,4,4,6,2,5,6,3
5e38168c-c307-4cd5-a939-b94dca4a69e1,3,2025-12-19 18:36:55.94115+00,1,2,2,5,1,2,5,5,5,5,4,2,1,3,6,4,4,5,7,7,7,7,7,7,1,5,4,2
65b68a45-2b10-49f3-8a4a-8315ef68f969,4,2025-12-06 19:24:56.592987+00,2,3,3,3,1,1,5,5,4,5,4,4,4,2,6,6,6,7,7,6,6,6,6,6,2,5,3,2
676840dc-d964-41e5-ad5b-dba3ca8f0208,4,2025-12-28 11:38:53.835209+00,1,1,1,4,1,3,4,5,5,5,2,3,1,5,7,7,7,7,7,7,7,7,7,7,7,5,1,1
68ec06a0-df0b-4061-bbee-6731a0867c41,3,2025-12-05 13:48:33.654832+00,3,4,3,5,1,1,4,5,5,5,4,3,3,3,7,7,7,7,6,6,6,6,6,4,2,5,5,4
6b42fb53-9d79-42ea-b1a9-1432d91cc505,2,2025-12-02 14:49:38.556778+00,1,2,1,3,3,4,5,4,3,4,1,1,1,1,6,6,6,6,4,4,4,4,6,4,4,5,3,1
6c31c25e-c5dd-41fb-b6c9-87bea11b8a8f,4,2025-12-23 13:04:10.71085+00,5,1,6,5,1,1,5,5,4,5,5,5,3,5,6,6,6,5,6,5,6,6,7,5,4,5,7,7
6fde05fb-ad92-4919-a93f-50f610305a99,1,2026-01-05 19:56:17.934801+00,4,5,6,3,4,2,4,2,5,3,3,2,3,2,3,4,3,6,6,6,6,5,7,7,1,5,2,1
702af4cc-906d-40b9-aa8d-8e99be992bde,3,2026-01-05 14:04:43.672166+00,5,1,2,1,5,1,5,5,4,5,4,4,4,2,7,1,7,6,6,5,5,6,4,6,1,5,5,3
708db045-62f6-4722-b354-0cd16fac4d4a,3,2025-12-02 22:03:40.239831+00,3,4,3,2,4,4,2,3,3,3,2,1,2,2,2,2,2,5,5,5,5,5,5,5,3,5,3,3
733a2e49-2496-4e7a-8429-aa233d6038e0,4,2025-12-06 13:16:21.512566+00,3,3,4,2,4,3,4,3,5,2,2,2,2,1,7,7,7,7,5,3,6,5,4,7,2,5,5,3
76df77f4-c446-4c7b-a4ea-93a0a4804064,4,2026-01-05 13:38:21.093873+00,2,1,2,4,1,2,5,5,5,5,3,3,3,3,6,6,6,7,5,5,5,5,7,6,4,5,2,1
7d4a763e-d896-4860-93a1-bad23bde6d35,3,2025-12-04 12:20:27.644753+00,5,4,2,2,5,5,5,3,5,4,2,2,2,4,1,1,1,6,5,5,5,5,5,4,4,5,5,1
81fe54b8-48d6-4929-970f-a999e75bb7f1,4,2025-12-12 09:48:31.07639+00,1,4,1,3,1,1,4,4,4,4,2,2,2,4,5,5,5,5,4,3,5,5,5,5,5,5,6,2
82b8fe9e-d03d-4a52-9b6c-867b927e02e1,3,2025-12-04 13:26:23.005221+00,3,1,1,2,4,4,4,4,5,4,4,3,4,2,6,5,5,7,6,2,2,2,6,6,2,5,2,1
8aef2386-7368-499e-a2c5-f4b5da726020,3,2025-12-03 16:35:22.158014+00,2,4,4,2,3,3,4,2,3,2,2,3,4,3,2,2,2,5,5,5,5,5,5,4,2,5,3,2
8e0c9b01-b81c-43c8-bb2f-35742dc5b516,3,2025-11-30 15:19:06.008672+00,1,4,1,1,5,5,4,4,2,4,2,2,1,1,5,5,5,5,5,5,5,5,2,2,6,5,3,2
97f16cb2-4702-4c1b-9ff8-ec0646a97f40,3,2026-01-01 13:45:30.372107+00,1,2,2,3,2,2,4,3,4,3,1,2,2,2,2,2,2,6,6,6,2,6,6,6,2,1,2,2
98102009-4760-4c36-822a-0e48ece5d5fb,7,2026-01-05 13:29:12.988019+00,5,5,6,4,1,1,5,4,5,4,1,2,3,3,7,7,7,7,5,6,6,4,7,7,3,5,6,5
9aeb0915-3140-4f9c-bc4b-6c5e899eb9da,3,2025-12-04 12:03:33.938001+00,5,7,5,4,4,1,4,4,5,4,2,2,1,4,7,6,6,7,7,7,7,7,7,7,1,5,6,2
9daba0c2-5e80-465c-bbbd-f824d9c24657,4,2025-12-06 15:20:09.141212+00,2,5,5,2,4,2,4,3,4,4,2,2,2,4,7,7,7,7,6,6,6,6,6,6,2,5,6,3
a283fcdf-6ba2-4329-8b8a-9bf558c8231a,1,2025-12-12 15:07:31.252086+00,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,5,1,1
a39dd60a-d5b3-4715-b83c-30600cad5cf3,2,2025-12-02 16:19:36.950364+00,2,5,4,1,4,4,3,2,4,1,1,1,3,2,1,1,1,6,5,4,5,5,7,5,1,5,5,2
a3b479f6-0430-44be-a23b-b1e580e826e0,3,2025-12-10 15:17:20.701538+00,2,4,3,2,4,4,4,4,5,3,2,2,3,1,3,3,3,5,5,3,1,1,3,5,3,5,3,3
a586e2c1-54e8-45ba-963f-6cd8077f1e79,5,2025-12-19 15:07:17.625773+00,1,4,1,4,1,1,4,5,4,4,4,4,4,4,7,6,6,7,7,6,6,6,7,7,1,5,5,3
a784408d-72a4-47b5-9e2f-6dac761f9ffd,4,2025-12-08 13:48:49.335941+00,5,4,5,5,1,1,5,5,5,5,4,4,4,2,7,7,7,7,7,6,6,6,4,5,1,5,3,1
a8557488-eb49-4d5f-ae1c-b72363c44416,4,2025-12-13 14:41:24.901922+00,6,7,7,4,2,1,4,5,4,5,3,5,3,3,7,6,5,5,7,7,7,7,7,7,2,5,5,4
a941ce89-6cf0-4690-830f-cd35b97730fc,3,2025-12-20 18:33:37.874467+00,1,1,1,4,2,3,4,3,3,3,4,4,2,5,4,5,4,4,7,6,5,5,7,7,1,5,4,2
aa394ce7-db73-4ab9-9735-eece7d619911,4,2025-12-08 08:30:50.866104+00,3,3,3,2,2,5,5,2,5,3,2,3,3,2,7,6,6,7,7,7,7,5,7,7,1,5,2,1
ab15ea54-ae59-4532-b89c-ff821a0116c0,2,2025-12-02 11:21:22.76004+00,1,1,1,4,2,2,2,3,5,4,4,3,4,2,5,3,2,7,4,5,5,4,4,5,3,5,1,1
b73a72b8-9607-4085-9706-7f0f9b926843,3,2025-12-02 16:16:56.929385+00,1,1,1,4,1,1,5,3,4,4,2,3,3,4,4,3,2,7,6,4,7,4,7,6,1,5,5,1
b9c7d764-2da0-4564-b4d7-914e99573ad0,4,2025-12-07 18:33:25.20299+00,2,2,2,4,2,1,5,4,5,5,4,4,4,4,7,7,7,7,6,6,6,5,6,6,2,5,6,4
bad1870e-b99a-4d8e-b4ab-bf544d71d0ec,3,2025-12-06 13:53:01.790582+00,2,6,2,3,3,1,4,4,5,4,4,4,4,5,7,6,6,7,5,4,4,4,6,6,4,5,7,3
bc0021f5-8e05-402d-9ce3-a9a63f51f658,4,2026-01-05 13:49:15.536223+00,4,1,2,3,3,2,4,4,4,4,3,3,3,4,6,4,4,5,5,5,5,5,4,5,4,5,5,2
c1b520fe-6dfe-4175-8e0e-12f182397fe6,4,2026-01-06 13:23:54.675026+00,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,2,1
cf397873-6203-4597-88de-171a739c1873,2,2025-12-26 13:07:39.840356+00,1,1,1,1,3,3,5,4,3,4,4,1,1,3,4,4,4,5,5,5,6,5,6,6,1,5,4,1
d54c2d38-a344-4acc-a58f-98900e4f3d25,4,2025-12-19 23:30:05.292809+00,1,4,4,1,1,1,1,2,1,1,1,1,1,1,4,4,4,4,7,6,2,2,4,4,4,5,4,1
da1fc0bd-2274-48c6-935d-bd4303dfc0a7,5,2025-12-19 14:06:06.023122+00,2,2,2,4,2,2,4,4,4,4,2,3,2,3,6,6,6,6,6,6,2,6,6,6,2,5,5,3
ded60c6e-ad75-4508-afdf-8caa0efe3410,3,2025-12-12 11:39:11.146717+00,1,4,1,2,5,4,5,5,5,5,1,1,1,2,6,6,6,6,6,6,6,6,5,6,3,5,5,1
e0706a41-3231-4374-a546-2d56f686f34c,3,2025-12-09 08:33:51.78558+00,1,1,1,1,4,2,4,2,4,3,2,2,2,3,2,2,3,7,5,4,5,4,6,5,2,5,1,1
e2de2353-af57-4348-aa6b-a0e7cfb609d1,3,2026-01-03 14:26:31.157873+00,2,2,2,3,2,2,4,4,5,5,4,4,3,3,5,5,5,7,6,5,6,5,6,6,2,5,4,2
e3a761b1-e739-49a7-bd95-cf33e2a3813c,4,2025-12-04 17:30:03.061576+00,3,4,3,4,2,1,5,4,5,5,4,4,2,4,7,7,7,7,6,6,6,6,7,6,1,5,7,4
e4410d18-7cd2-4198-9c4a-67901559288f,3,2026-01-04 15:30:39.62463+00,5,3,4,3,2,3,2,2,4,2,1,2,2,2,5,5,5,5,4,4,5,5,5,5,2,5,4,4
e4bdced0-2d54-4933-84d0-f3f80c285a06,6,2025-12-05 08:01:53.350254+00,3,3,2,3,2,2,4,4,4,3,3,4,4,4,5,5,5,7,5,5,5,5,5,5,2,5,3,3
e8d06654-451d-4d8f-b3f7-dd47d9317828,5,2026-01-01 16:33:28.782927+00,2,3,2,2,4,4,4,3,3,3,4,3,3,3,2,4,5,5,5,5,5,5,5,4,2,5,2,2
ea3dc494-f4e6-48c2-813c-6de68d7a45e8,3,2026-01-05 13:30:01.118316+00,5,5,5,2,4,4,2,2,3,1,3,2,4,2,2,2,2,5,4,4,4,4,2,2,5,5,4,3
eb870660-81e6-42e1-be24-2ca77d82d4ce,2,2025-12-19 08:56:56.313536+00,2,4,1,2,2,4,5,4,5,2,1,1,1,4,7,7,5,7,7,6,6,5,7,7,1,5,7,3
ec43a56a-d5a9-42a4-98fa-46840df7e093,3,2025-12-12 13:01:10.044337+00,1,4,1,1,4,4,4,2,4,3,3,2,2,3,5,7,7,7,5,5,4,5,6,6,2,5,2,1
ed793ccf-cf9c-4b54-9951-a243e876cc49,4,2025-12-07 21:05:10.744365+00,5,4,5,1,2,4,5,3,4,4,2,4,4,1,5,5,5,6,6,5,6,5,6,6,2,5,5,3
f5a43f10-de46-4cf5-bce3-9df18286d3d4,2,2026-01-02 16:03:04.446648+00,2,6,3,4,4,2,4,3,1,4,4,3,4,4,4,4,4,6,6,6,6,6,6,6,1,5,5,1
f5b5e557-ecf7-4d49-a4b3-1c2cde77ea6f,4,2025-12-12 10:11:33.871311+00,2,4,3,4,1,1,4,3,5,3,4,4,4,5,4,3,4,6,7,6,1,1,7,7,1,5,3,3
f709f384-1ebc-4302-978c-d19289570ee9,3,2025-12-06 12:20:53.521775+00,3,4,2,2,3,4,4,4,3,4,4,2,2,2,3,3,4,5,4,4,4,4,4,4,3,5,5,3
f8350255-0cb7-49ec-a1ed-f6d608da537a,4,2025-12-04 12:35:40.874211+00,3,3,3,1,5,4,4,2,4,2,2,2,1,1,1,3,3,6,5,3,3,3,6,6,2,5,4,3
f848edac-87b3-458d-8ccc-7759502a11c9,3,2025-12-04 17:16:54.828391+00,1,2,4,2,3,2,4,3,4,3,2,2,2,1,6,5,5,6,6,6,6,5,6,6,2,5,5,2
f97814c0-fdd1-4911-ae4f-aa1459d6fa5b,3,2025-12-02 17:41:59.153518+00,1,2,2,4,2,1,4,4,5,4,2,2,2,2,6,4,4,6,6,5,5,5,7,7,1,5,3,1
fe672941-07cb-4dcc-9668-f50d2d067848,2,2025-12-19 15:13:08.780775+00,1,2,2,1,4,5,4,1,3,1,1,1,2,1,5,5,5,7,6,5,5,5,6,5,1,5,5,1
